 S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19
q1 10 27 25 19 7 2 7 26 1 8 0 0 0 11 15 14 14 23 2
q2 16 11 9 10 14 19 5 20 14 18 7 13 28 21 5 7 26 16 24
q3 21 17 0 14 3 25 8 10 8 8 0 27 17 23 12 14 27 19 18
q4 20 7 11 8 12 14 26 10 3 15 9 23 22 24 16 23 10 14 27
q5 16 22 16 5 27 6 11 23 20 23 19 13 4 14 22 28 0 6 13
q6 24 26 15 13 23 22 24 23 11 9 2 23 1 25 28 2 7 16 6
q7 18 3 4 6 7 5 22 11 4 14 12 6 21 27 0 27 27 28 5
q8 3 24 5 12 8 9 24 9 12 7 7 23 7 2 2 0 20 14 5
q9 14 12 2 28 23 25 16 18 12 28 5 18 22 13 14 8 27 5 0
q10 28 17 2 4 21 25 4 9 20 20 11 26 7 7 29 9 24 9 23
